transaction_id,user_id,amount,device_id,ip,location,timestamp,fraud_flag
0,cbd0b3df-eb59-4274-ad37-868c2c214a09,454.24,0d98417b-868b-4942-a285-1b37bb5cba92,122.29.90.93,New David,2026-07-25 17:16:26,0
1,57d76171-9b0c-4471-888c-af551ea410bc,1799.12,73db6c59-3416-43f9-9d81-50d2ede1026f,163.223.144.149,Laraburgh,2026-01-11 23:21:17,0
2,e85dfa97-7f3e-49d8-8e22-bbbf9347879c,1379.35,0bd25393-3abe-4e18-9e0b-9dd44d905905,170.182.217.94,New Megan,2026-04-29 08:39:51,0
3,74953c21-0800-49e2-b59c-be7c840fbe09,2109.77,c8300028-3542-433c-af80-191d1a79bcad,195.127.234.238,Charlesborough,2026-02-24 12:30:08,0
4,cd8b65b3-ec26-4e0f-b95d-7a55fe111957,2772.08,e0ced089-3a19-4a96-bdc5-b9489ef96647,12.120.190.254,New Mistybury,2026-06-19 21:34:01,0
5,e1d67bad-69cb-4a91-9aa4-4d7c40d42cfd,696.4,698e5eb2-3bdc-4ed2-ac40-0de942d79db5,218.188.203.153,Kristaport,2026-06-16 00:27:44,0
6,12ae95d5-5735-45db-b323-16aa6da13824,4951.33,f5426af8-c9c2-4b07-b0f3-aeb4d62ec70b,125.102.166.7,Port James,2026-01-17 11:34:27,1
7,b37ca58b-5611-4c6f-86ff-f8f3f17a9392,3719.23,848ccc50-d466-450f-bac3-62b2a2de34f8,84.104.60.119,Jessicaview,2026-08-11 02:38:07,0
8,049584ee-4848-49eb-9185-3ff2e1aaed64,2263.9,748cdd80-1fe5-49a6-be0a-355242aadef8,28.85.19.251,Kennedymouth,2026-07-03 21:44:00,0
9,459b6337-3383-4006-a83b-792fa4a22abf,3068.81,52599acb-81c2-430e-95ac-7daa08d3fa78,21.193.102.182,West William,2026-05-10 08:25:01,0
10,c0af4533-dba6-4816-ae1d-3f2009b0a29d,1861.4,0691e81d-dda3-44fa-a9ca-4cb256f2d3c4,144.13.15.244,Port Justin,2026-06-14 20:30:42,0
11,8805c163-68ca-4487-8906-e982d3d9efa3,1762.18,88d34204-2d55-4479-bfe2-8bc03173a2ad,84.189.112.254,Port Kevin,2026-01-29 17:57:53,0
12,eac39573-815a-4286-9764-de2f6be14d5a,2316.6,5077802d-89a1-404b-8993-dcf91eff2f74,83.231.132.24,East Laurastad,2026-02-24 14:54:29,0
13,d7a6245c-1f83-4841-9cfe-f8a86d619082,2088.71,c807655a-e8e6-4b5a-bb39-a76eab14a7b3,11.31.163.153,West Darrylfurt,2026-06-30 13:47:08,0
14,a31aae14-b995-4dba-a720-4d0414f64eda,4147.3,f35962dd-2aa2-4ce4-9d56-382376d36a05,87.79.196.194,Jenkinsfurt,2026-03-15 06:30:16,1
15,3f24902a-98a0-4cef-9126-c29fdebd5a6a,3566.87,5d1f2b9f-8134-45e9-9276-a5fd308ac0ff,100.35.113.231,Scottside,2026-02-18 22:08:54,0
16,65626b22-03f1-4e96-8851-6cd4282e87bb,4770.18,b45313ae-a2e6-41dc-a219-8583b295da0d,212.129.249.28,Lake Alicia,2026-08-04 15:36:21,1
17,9dea3e14-a2b6-4378-9919-3fae4ec7460e,3708.54,3a0a1eeb-367e-4981-908a-d2b70b59cf74,18.167.139.105,West Samuelmouth,2026-07-07 11:37:51,0
18,5415835d-3cb5-4935-8250-6137babfe06a,244.64,07d47bf9-b3d1-4cce-9775-98ff00640159,20.109.114.249,South Ryan,2026-06-11 20:34:19,0
19,c8323af2-4170-4188-9249-3faacb9e6b65,850.03,7ad8fa2c-4320-48a5-a3fe-185d9f8df032,42.156.61.70,Kristiville,2026-03-16 08:53:25,0
20,7bf7f772-052a-4282-9176-7b10aeb819b2,441.39,8161297d-a24b-4684-9a55-fbbe2f25cd29,8.157.95.164,New Douglasville,2026-04-18 21:33:56,0
21,0ea26acb-9086-41ac-b181-ddaf36dd6c5f,4526.16,f5cfee15-0714-461c-a777-74d6dc9b8c3b,98.92.195.229,Copelandburgh,2026-02-06 08:01:22,1
22,5f4eb891-1001-4474-97c4-5b5d6f59d6c1,2992.35,a3836e86-6ee0-4e93-9f69-6691128442d0,60.164.13.52,Angelaville,2026-07-12 18:20:18,0
23,c5c1f3c1-a9e2-4e98-8429-bf191bb085cb,1460.56,5fd95dc0-334b-48d2-b1b5-eaf6fc6203aa,219.23.240.247,East Sheila,2026-02-20 05:38:14,0
24,9fa402c6-aacf-4d76-80c3-852280b24aa7,2334.61,2d18a42f-2774-460a-8d5b-8ab83f681e82,122.29.6.92,Amandashire,2026-03-22 11:31:18,0
25,e59dc1dc-a88a-4507-95d2-e03f0270d4bb,428.97,79c88328-f399-459f-a619-d48b80c8f09e,165.48.13.205,West Janetburgh,2026-08-16 22:11:35,0
26,f96ce45e-c852-41a4-8ff0-ae39148c53db,3004.43,b6da29b9-213c-4298-96d3-5728acf5c131,214.240.107.72,South Susanburgh,2026-05-26 01:28:10,0
27,40b2fc1e-2d4f-426f-9311-284b6f67f419,4701.95,95cd6763-b0a5-4e5b-9cf9-6cf42070b7d7,77.69.138.237,Davidchester,2026-07-10 16:56:23,1
28,12b0e170-a7ae-4f70-b9eb-c929fc02e775,2708.84,c93f4bc4-1014-48ff-a94d-af20f9e83a05,76.214.9.35,West Zacharymouth,2026-04-10 01:00:48,0
29,4c66bb41-fe58-4a6a-8067-0faf4954e98f,3935.29,048a1a8e-cbbd-423d-b68f-e1a4263ad62c,159.60.157.235,Terrimouth,2026-03-29 06:47:18,0
30,dd73bb21-aca3-4e30-8750-cc297e7de4e5,228.51,3fde2979-f50a-4c63-b75b-b3d84101f689,222.173.104.30,Port Coreymouth,2026-04-24 20:49:14,1
31,109dc924-c371-4172-a7ac-282e046d60ad,4876.98,0de79a5b-bff6-46a6-86e8-36cae7cdaa1e,204.88.212.2,North Elizabeth,2026-04-08 07:29:49,1
32,7fc97b7e-f24f-4e72-8294-671ccbb74460,844.44,c7985238-d3d6-4b96-97c9-915c3fc7a888,181.112.86.221,Lake Patrick,2026-08-11 02:48:03,0
33,b6d0ec8c-0b6b-40e8-b000-d7f7548fde8d,1292.19,2b73ff36-e627-4406-85c6-075b7fd2eaec,111.143.78.97,Aarontown,2026-07-19 09:19:24,0
34,c40e5df3-2673-4831-b3f5-f5a57decd146,1323.69,81ff73bc-23f1-43c2-b88e-a9ad635ead33,115.142.80.185,Janetfurt,2026-01-30 20:47:21,0
35,25186fb8-3fc5-450c-b54b-34890a0eee7e,2038.78,cc9a8874-c892-4990-8839-fb7ff390227b,10.10.255.235,Normanland,2026-05-29 23:19:25,0
36,d4d8d464-09a6-472d-8169-101bacb6a7f9,2297.36,c9b3aa1c-d2c7-45e5-9696-435df0f86c7c,84.76.85.209,Porterport,2026-01-28 23:10:59,0
37,1853513b-2250-476d-a85e-b2f6d44a8046,1569.38,0c565baf-71f1-4fbf-a4e5-19619ccecaaf,37.90.145.53,Hernandezmouth,2026-03-12 05:24:22,0
38,d9d2173c-516c-4a65-a48d-22621052ebad,3820.77,e28e12f2-c1a3-4413-931f-13599631e035,137.2.224.30,Robinsonton,2026-06-23 17:58:27,0
39,a8d15b87-f329-43c3-b201-6e339b64454b,4930.54,97b44d2a-1fc5-42de-b9f6-7aacc29d3735,48.97.102.191,West Ricardo,2026-06-29 07:19:47,1
40,f9530343-108c-471f-9da4-d3d76bf1b413,2495.51,87649ac1-81a2-46ba-af02-6fab9767f70c,217.185.125.127,Schmittberg,2026-04-02 09:58:16,0
41,42b0e0d5-aa7a-4891-be6d-1cb42de8b4ab,54.33,4b062e4a-4a2e-432f-a0f4-355364e02bbc,48.185.62.53,Doylechester,2026-06-09 17:52:15,0
42,4c026965-10ce-4798-a4cb-65c615e99b74,1313.85,3a48a2d3-60fe-4c85-a991-8ffe8ac0f055,49.166.206.77,Wilsonberg,2026-01-07 02:49:17,0
43,855a8805-10c7-4b1b-8b7d-1c65cd79913c,486.43,46199507-2be4-4c47-8f23-97fdbbb63773,17.122.60.110,South Elizabethport,2026-02-24 05:50:14,0
44,7f532132-99b6-4401-a9ec-8be54690612b,3827.97,23c967ac-4199-4f78-abb5-c9a9bfacd3e4,61.217.162.160,South Melissa,2026-06-10 04:55:57,0
45,11229684-e771-4079-ad67-d302f56df941,472.57,ffe92c7a-feb6-43b8-86fa-8534c7df5390,57.62.161.169,West Davidside,2026-07-16 12:24:43,0
46,f2994d97-86f3-4358-87af-269b2b8ccfce,1026.15,5d38583e-9e50-4ed5-962b-8ea4e85d0c47,117.63.7.98,Sarahton,2026-03-09 08:26:27,0
47,1fab98eb-b55d-40ad-a3db-57f5138a8553,408.22,b659e61c-ff5d-47be-b204-3c91a801d44d,136.153.165.189,Lake Staceymouth,2026-03-13 10:18:27,0
48,de17698e-7400-40e1-8063-7679e50e559d,2591.13,e3575239-cf49-45e7-8256-d7d3b37900cb,19.211.96.110,East Veronicaville,2026-01-11 07:49:28,0
49,150f1997-f4cd-43cc-82b7-2609a5f8effa,624.0,c941ad59-6cf0-4c2c-ba8d-bc4d7d48598d,102.242.160.37,East Donnaland,2026-02-20 13:39:23,0
50,634b49e9-51bf-4a61-adfc-068d3e72d643,326.57,38e69a61-415c-488f-b76e-fab42323c418,178.36.40.171,South Jackson,2026-08-08 17:13:08,0
51,c67397a3-7bb3-4ee8-a3af-b000af2afaa6,850.33,1cd1f8db-50c4-425e-8608-f1ac4de1a2a5,96.161.215.60,Gomezshire,2026-01-27 03:45:55,0
52,a6b165a9-e4b2-4ba5-a038-f9f17b41260f,4201.58,59b86403-9eef-42db-8c1b-bc2ba0b9543d,200.211.22.179,East Summer,2026-01-10 02:34:05,1
53,c8b80159-deb2-4fad-80b9-c8930a24d265,1854.34,e6990a04-6ac9-4df9-99a4-0b5fb07d5094,11.214.70.219,West Christopherbury,2026-05-05 18:55:05,0
54,f3966638-c625-43c2-bc3c-e2906b48376c,4283.62,6a03a0a6-31fd-4567-b12e-a753db4047d7,53.40.207.214,Port Daniel,2026-05-12 15:16:05,1
55,e1f0ff4a-ee1d-406c-88f6-4b538c00aa85,1521.05,ca8aec2b-8b2c-4cc6-9017-72f747f29c71,163.205.92.231,Ronaldtown,2026-02-07 09:14:25,0
56,9c4cbbd7-eb28-488f-9849-268d3d30caa2,2585.19,d5f2d1c1-423c-462a-aa6e-b74b2bcab590,103.172.114.130,Thompsonborough,2026-08-18 17:37:45,0
57,6655f9d4-a859-4184-b03f-c12e3b7cc4ec,3734.91,ba0c41ee-be48-4dc2-bc12-8d1499a9b5c4,81.7.18.62,Lake Patrickmouth,2026-01-17 20:56:09,0
58,77d68c5a-87f0-4f05-bd2e-6a08fe138ea2,4708.65,16bf187d-f703-4437-a345-b1c266016e7c,122.211.168.89,South Aaron,2026-04-08 03:22:28,1
59,0c00a07c-a4a5-4baa-91b5-2a5e5d8fce34,3159.56,e470227c-08fc-4355-b7cf-2538b41b6937,51.64.55.106,New Jaime,2026-08-05 17:35:26,0
60,d0a57789-1e3d-4b47-8b84-43ded0d827dc,3220.64,f4d7363a-de97-4427-9bff-e2f6434824fc,80.211.72.239,Lucaston,2026-07-06 10:19:42,0
61,dd297a67-8d9f-42e9-a49a-75de66f4a0bc,13.12,2ee878fe-8ca3-4649-bdb7-d4b23cddf187,168.196.19.33,East Dana,2026-01-19 04:56:07,0
62,4c64cdcf-72eb-4b52-80b8-3b4ba9724df0,3879.88,e2a9435b-723d-4298-8bc1-ee5270f914b7,157.52.94.28,Lake Ryanstad,2026-07-13 16:31:27,0
63,193ae2c7-078c-42a4-b6f1-e4cf73aa8ac9,2854.83,5e56aedc-f291-4e72-91be-18952d884f2a,144.39.127.105,Johnstonmouth,2026-07-17 16:23:38,0
